TechnicalCondition,PassportAgeYears,ResourceType,WaterType,HasFauna,RequiresAttention
4,2.11,0,1,0,True
4,7.69,0,1,0,True
3,4.80,1,0,1,True
5,8.66,1,0,0,True
5,8.10,0,1,0,True
4,7.75,0,0,0,True
5,0.06,1,1,1,False
1,0.40,0,1,1,True
2,11.59,0,1,0,True
4,7.74,0,0,1,True
2,0.20,1,0,0,True
1,6.96,0,1,0,True
3,0.13,2,0,0,True
4,0.52,2,1,0,True
4,0.67,1,0,0,True
3,6.01,0,1,1,True
1,13.23,2,0,1,True
1,6.78,0,1,0,True
2,8.87,1,1,1,True
4,4.34,1,1,1,True
2,13.94,0,0,0,True
2,8.89,1,0,1,True
1,4.82,0,1,1,True
1,12.61,2,0,1,True
2,8.18,1,1,0,True
1,0.44,0,1,1,True
1,13.25,0,0,1,True
4,1.83,1,0,1,True
2,14.46,1,1,1,True
1,1.61,0,0,1,True
3,8.86,1,0,1,True
5,2.59,1,1,1,True
5,11.21,0,0,1,True
2,13.32,1,0,0,True
5,9.60,0,0,1,True
4,14.30,2,0,1,True
1,8.81,0,1,1,True
1,12.09,1,1,1,True
3,11.83,1,0,1,True
1,3.22,0,0,0,True
5,7.05,1,0,1,True
5,5.34,2,0,0,True
3,9.19,1,1,0,True
5,4.69,2,1,1,True
2,8.70,0,1,0,True
4,14.77,0,1,1,True
2,9.86,0,1,1,True
2,3.28,1,1,1,True
4,1.49,0,1,0,True
2,0.01,1,0,0,True
4,1.63,2,0,1,True
4,9.79,2,0,1,True
3,2.93,2,1,1,True
3,9.82,2,1,0,True
3,12.19,2,0,1,True
3,14.85,1,1,0,True
3,2.45,1,0,0,True
3,4.63,1,1,0,True
1,11.95,1,1,1,True
2,14.21,2,1,1,True
3,4.87,0,0,1,True
5,8.54,0,0,0,True
1,0.08,1,0,0,True
5,12.39,1,1,0,True
2,8.17,0,0,1,True
3,11.80,1,1,1,True
5,5.28,1,1,1,True
5,12.17,1,0,1,True
5,2.80,2,1,1,True
3,13.60,0,0,1,True
3,13.78,2,0,1,True
5,5.84,0,1,0,True
3,14.53,0,1,1,True
1,2.99,2,0,0,True
2,8.46,2,1,0,True
3,9.28,1,0,0,True
5,13.23,2,0,0,True
5,13.08,0,1,0,True
4,13.35,0,1,0,True
4,6.90,2,0,1,True
2,2.10,0,0,0,True
2,7.03,2,0,1,True
2,12.22,2,0,0,True
3,8.31,0,0,1,True
4,9.05,1,1,0,True
1,7.10,0,1,1,True
2,10.82,1,1,0,True
1,9.44,0,0,1,True
4,4.13,0,0,0,True
1,3.37,0,1,0,True
1,6.62,0,1,0,True
3,10.07,2,1,0,True
5,13.01,0,0,1,True
1,4.04,0,0,0,True
4,9.41,1,0,1,True
5,8.51,1,0,1,True
5,4.37,1,0,1,True
3,12.00,0,1,1,True
1,0.72,0,1,1,True
5,13.26,0,1,0,True
4,7.36,0,0,1,True
2,6.23,1,0,0,True
4,0.23,1,0,1,False
5,0.56,0,0,0,False
3,14.52,2,0,1,True
5,0.95,0,0,0,False
4,4.76,2,1,0,True
5,0.10,2,1,0,False
4,8.81,0,1,1,True
2,7.10,1,1,1,True
3,14.20,2,1,0,True
4,8.07,1,1,1,True
4,2.52,1,1,0,True
3,14.27,2,0,1,True
3,1.49,0,1,1,True
5,14.84,1,1,0,True
3,1.15,2,1,1,True
5,11.68,0,1,0,True
3,7.35,0,0,0,True
2,2.06,1,1,0,True
1,10.72,2,1,1,True
4,12.13,2,0,0,True
2,12.52,0,0,0,True
1,9.12,2,0,0,True
5,7.86,2,1,1,True
1,11.58,2,1,1,True
5,3.51,2,1,0,True
5,5.48,0,1,0,True
4,2.33,2,1,1,True
1,10.49,1,0,1,True
4,11.25,0,1,0,True
3,7.60,0,1,0,True
5,7.91,1,1,0,True
2,2.93,0,1,0,True
2,5.65,0,0,1,True
5,7.62,1,0,1,True
1,0.67,0,0,0,True
1,12.60,2,1,1,True
2,6.71,0,0,0,True
1,0.92,1,1,0,True
3,7.93,2,0,1,True
5,9.89,2,0,1,True
4,13.86,0,1,0,True
3,12.77,2,0,1,True
4,7.48,1,1,0,True
5,3.63,1,0,1,False
4,2.15,2,0,1,True
3,1.05,2,1,1,True
3,8.38,1,0,0,True
1,6.96,2,1,0,True
2,1.05,1,1,0,True
4,4.42,0,1,1,True
3,1.09,0,1,1,True
2,14.10,2,0,0,True
1,13.37,2,0,0,True
5,0.41,2,0,0,False
3,7.55,2,0,0,True
1,14.80,2,0,0,True
3,6.46,2,1,0,True
3,2.32,2,1,1,True
3,11.52,2,1,1,True
2,3.05,0,0,0,True
5,12.20,2,1,0,True
5,11.49,1,0,1,True
3,0.04,1,1,1,True
4,9.07,2,0,1,True
2,5.81,0,1,1,True
2,0.16,0,1,1,True
3,14.21,0,1,0,True
5,0.51,0,1,0,False
2,11.98,1,0,1,True
3,6.92,2,1,0,True
5,13.12,2,0,0,True
4,13.56,0,1,0,True
4,1.49,1,1,1,True
1,6.93,0,1,1,True
5,2.97,1,1,0,False
4,12.64,2,1,1,True
2,9.36,2,1,0,True
3,4.71,1,1,0,True
5,10.21,2,1,1,True
3,3.62,0,1,0,True
2,12.93,2,1,0,True
1,3.57,0,0,1,True
1,6.31,0,1,0,True
3,4.75,2,1,1,True
4,13.06,1,1,0,True
1,9.56,0,1,0,True
4,14.84,0,0,0,True
2,10.05,0,1,1,True
3,7.38,0,1,0,True
1,6.75,0,0,1,True
5,2.84,0,1,0,False
4,2.76,2,1,0,True
2,3.07,2,1,0,True
2,11.64,0,0,0,True
2,5.68,1,0,1,True
2,7.38,0,1,0,True
5,7.79,1,0,0,True
1,12.07,0,0,0,True
1,6.55,2,1,1,True
2,10.78,2,1,0,True
2,10.23,1,1,0,True
1,3.87,2,1,1,True
4,1.42,2,0,0,True
3,3.46,2,1,1,True
1,6.42,2,1,1,True
2,6.86,0,1,0,True
2,2.16,1,0,0,True
5,5.76,2,1,0,True
3,13.49,1,0,0,True
5,7.85,2,0,1,True
1,3.77,1,0,0,True
5,2.19,0,0,0,False
1,1.32,0,1,1,True
3,0.78,0,0,0,True
1,2.11,1,1,1,True
4,1.34,0,0,0,True
4,12.16,2,0,0,True
3,2.32,2,1,0,True
1,3.96,2,0,1,True
4,14.11,2,1,0,True
